name;role;email;number
Raka Pratama;Manager;raka.pratama@gmail.com;+62 82153214867
Dwi Ambarwati;Senior;dwi.ambarwati@gmail.com;+62 82155467238
Bayu Setiawan;Junior;bayu.setiawan@gmail.com;+62 82154328716
Dian Permatasari;Manager;dian.permatasari@gmail.com;+62 82156783214
Agung Saputra;Senior;agung.saputra@gmail.com;+62 82156719432
Sari Lestari;Junior;sari.lestari@gmail.com;+62 82157938421
Rian Maulana;Manager;rian.maulana@gmail.com;+62 82159483721
Wulan Aprilia;Senior;wulan.aprilia@gmail.com;+62 82151476328
Arif Gunawan;Junior;arif.gunawan@gmail.com;+62 82152364971
Fitri Handayani;Manager;fitri.handayani@gmail.com;+62 82157394812
Eka Widodo;Senior;eka.widodo@gmail.com;+62 82158273916
Lina Hartati;Junior;lina.hartati@gmail.com;+62 82151487932
Yudi Pratomo;Manager;yudi.pratomo@gmail.com;+62 82154231789
Maya Kusuma;Senior;maya.kusuma@gmail.com;+62 82152374891
Irwan Satria;Junior;irwan.satria@gmail.com;+62 82157389471
Rika Setiani;Manager;rika.setiani@gmail.com;+62 82153729146
Toni Wijaya;Senior;toni.wijaya@gmail.com;+62 82159237418
Endah Pratiwi;Junior;endah.pratiwi@gmail.com;+62 82151874263
Wahyu Purnama;Manager;wahyu.purnama@gmail.com;+62 82154278914
Anisa Putri;Senior;anisa.putri@gmail.com;+62 82155438972
Deddy Firmansyah;Junior;deddy.firmansyah@gmail.com;+62 82153476829
Lestari Wijayanti;Manager;lestari.wijayanti@gmail.com;+62 82159384712
Joko Santoso;Senior;joko.santoso@gmail.com;+62 82154387962
Nanda Pratami;Junior;nanda.pratami@gmail.com;+62 82151928764
Dewi Anggraini;Manager;dewi.anggraini@gmail.com;+62 82157392814
